,date,title,summary
81,2020.08.11.,< Build Up Korea 2020 >고속도로서 해저터널까지… 해외 인프라에 뻗어나간 ...,"따른 산유국의 발주 감소, 신종 코로나바이러스 감염증(코로나19) 사태에도 꿋꿋이 글로벌 시장에서 약진하고 있다. 건설사들은 기존 사업 강화는 물론 해외 인프라 민관협력사업(PPP·Public Private Partnership) 적극 진출..."
82,2020.08.14.,"HMM 이어 팬오션도 실적 호전… 해운업, 리스크관리로 반등 기틀","사우디아라비아, 러시아 등 글로벌 산유국들의 증산 경쟁으로 유가가 급락하면서 비용절감 효과가 나타나 실적 개선에 힘이 됐다는 분석이다. 또 지속적인 체질 개선과 최근 선박 운임료 상승도 호실적으로..."
83,2020.08.18.,"[이희수의 21세기 아라비안나이트] ""'각자도생' 택한 UAE-이스라엘 수교","이어 바레인, 오만, 사우디아라비아, 쿠웨이트, 카타르 등 다른 아랍 산유국도 이스라엘을 친구로 맞아들일... 걸프 산유국의 묵시적 동조로 미국 도널드 트럼프 행정부가 밀어붙이는 이스라엘의 팔레스타인 점령지..."
84,2020.08.18.,"글로벌 기상이변, 투자판도까지 바꾼다...국제투자 대세된 '脫탄소'","세계 최대 산유국인 사우디아라비아의 증권거래소가 환경지수 개발을 발표했고, 세계 금융시장의 큰손으로 불리는 연기금들은 잇따라 '탈탄소화'를 선언하고 나섰다. 친환경 기업에 투자하는 사회책임투자(ESG)..."
85,2020.08.18.,금값 치솟는데···경제난에 팔아치운 베네수엘라,전 세계에서 원유 매장량이 가장 많은 산유국으로 여유가 있었던데다 우고 차베스 전 대통령 시절에 달러 의존도를 줄이기 위해 금을 대량으로 사들였기 때문이다. 하지만 지난 몇년간 베네수엘라의 금 곳간은 빠르게...
86,2020.08.20.,"마이클 워스 '셰브런' 회장 겸 CEO, 석유시장 좋을 때 M&A 실탄 비축",주로 중동 산유국과 협업하는 오일메이저 기업이 이스라엘과 손잡은 것은 이례적이다. 중동과 유럽 등에서 에너지 공급망을 다각화하려는 시도로 분석된다. 이스라엘은 지중해 동부 레비아단 천연가스전을 개발해...
87,2020.08.21.,"[최지웅의 석유패권전쟁] 日이 美에 충성하고, 中이 美에 도전하는 속내는","미국, 중동에서 영향력 유지하며 '21세기 최대 산유국' 복귀 오늘날 부의 원천은 에너지이고 가장 중요한... 20세기 전반기에 미국은 전 세계 원유 생산량의 60%를 차지하는 압도적 1위의 산유국이었다. 이는 전례없는 생산성..."
88,2020.08.23.,개도국도 할 수 있다…파키스탄의 '현금 실험' [구정은의 '수상한 GPS'],"걸프 산유국들에 나가 일하며 고향에 송금하는 사람들이 많은데, 코로나19에 큰 타격을 받았을 것으로 보인다. 파키스탄은 ‘백신 거부’ 때문에 세계보건기구(WHO)가 골머리를 앓게 만들었던 나라다. 미국 중앙정보국..."
89,2020.08.27.,<시평>장마 태풍…탈원전 폐기 더 화급해졌다,"세계 6위 산유국에 천혜의 태양광 발전국이 전원을 다각화하는 것은 캘리포니아 정전과 함께 국내 에너지 정책에 시사하는 바가 크다. UAE는 전력 생산뿐만 아니라, 국가 안보 차원에서 원자력을 선택한 것이다. 이런..."
90,2020.08.10.,[조홍식의세계속으로] 레바논의 기적과 베이루트의 폭발,레바논은 서남아시아에 있지만 사우디아라비아나 걸프만 산유국들처럼 천연자원의 혜택을 누리지 못했다. 그럼에도 불구하고 가장 높은 교육과 생활 수준을 유지해 온 것이다. 성차별 같은 봉건적 요소를 타파하고...
91,2020.08.11.,< Build Up Korea 2020 >고속도로서 해저터널까지… 해외 인프라에 뻗어나간 ...,"따른 산유국의 발주 감소, 신종 코로나바이러스 감염증(코로나19) 사태에도 꿋꿋이 글로벌 시장에서 약진하고 있다. 건설사들은 기존 사업 강화는 물론 해외 인프라 민관협력사업(PPP·Public Private Partnership) 적극 진출..."
92,2020.08.14.,"HMM 이어 팬오션도 실적 호전… 해운업, 리스크관리로 반등 기틀","사우디아라비아, 러시아 등 글로벌 산유국들의 증산 경쟁으로 유가가 급락하면서 비용절감 효과가 나타나 실적 개선에 힘이 됐다는 분석이다. 또 지속적인 체질 개선과 최근 선박 운임료 상승도 호실적으로..."
93,2020.08.18.,"[이희수의 21세기 아라비안나이트] ""'각자도생' 택한 UAE-이스라엘 수교","이어 바레인, 오만, 사우디아라비아, 쿠웨이트, 카타르 등 다른 아랍 산유국도 이스라엘을 친구로 맞아들일... 걸프 산유국의 묵시적 동조로 미국 도널드 트럼프 행정부가 밀어붙이는 이스라엘의 팔레스타인 점령지..."
94,2020.08.18.,"글로벌 기상이변, 투자판도까지 바꾼다...국제투자 대세된 '脫탄소'","세계 최대 산유국인 사우디아라비아의 증권거래소가 환경지수 개발을 발표했고, 세계 금융시장의 큰손으로 불리는 연기금들은 잇따라 '탈탄소화'를 선언하고 나섰다. 친환경 기업에 투자하는 사회책임투자(ESG)..."
95,2020.08.18.,금값 치솟는데···경제난에 팔아치운 베네수엘라,전 세계에서 원유 매장량이 가장 많은 산유국으로 여유가 있었던데다 우고 차베스 전 대통령 시절에 달러 의존도를 줄이기 위해 금을 대량으로 사들였기 때문이다. 하지만 지난 몇년간 베네수엘라의 금 곳간은 빠르게...
96,2020.08.20.,"마이클 워스 '셰브런' 회장 겸 CEO, 석유시장 좋을 때 M&A 실탄 비축",주로 중동 산유국과 협업하는 오일메이저 기업이 이스라엘과 손잡은 것은 이례적이다. 중동과 유럽 등에서 에너지 공급망을 다각화하려는 시도로 분석된다. 이스라엘은 지중해 동부 레비아단 천연가스전을 개발해...
97,2020.08.21.,"[최지웅의 석유패권전쟁] 日이 美에 충성하고, 中이 美에 도전하는 속내는","미국, 중동에서 영향력 유지하며 '21세기 최대 산유국' 복귀 오늘날 부의 원천은 에너지이고 가장 중요한... 20세기 전반기에 미국은 전 세계 원유 생산량의 60%를 차지하는 압도적 1위의 산유국이었다. 이는 전례없는 생산성..."
98,2020.08.23.,개도국도 할 수 있다…파키스탄의 '현금 실험' [구정은의 '수상한 GPS'],"걸프 산유국들에 나가 일하며 고향에 송금하는 사람들이 많은데, 코로나19에 큰 타격을 받았을 것으로 보인다. 파키스탄은 ‘백신 거부’ 때문에 세계보건기구(WHO)가 골머리를 앓게 만들었던 나라다. 미국 중앙정보국..."
99,2020.08.27.,<시평>장마 태풍…탈원전 폐기 더 화급해졌다,"세계 6위 산유국에 천혜의 태양광 발전국이 전원을 다각화하는 것은 캘리포니아 정전과 함께 국내 에너지 정책에 시사하는 바가 크다. UAE는 전력 생산뿐만 아니라, 국가 안보 차원에서 원자력을 선택한 것이다. 이런..."
100,2020.08.10.,[조홍식의세계속으로] 레바논의 기적과 베이루트의 폭발,레바논은 서남아시아에 있지만 사우디아라비아나 걸프만 산유국들처럼 천연자원의 혜택을 누리지 못했다. 그럼에도 불구하고 가장 높은 교육과 생활 수준을 유지해 온 것이다. 성차별 같은 봉건적 요소를 타파하고...
101,2020.08.11.,< Build Up Korea 2020 >고속도로서 해저터널까지… 해외 인프라에 뻗어나간 ...,"따른 산유국의 발주 감소, 신종 코로나바이러스 감염증(코로나19) 사태에도 꿋꿋이 글로벌 시장에서 약진하고 있다. 건설사들은 기존 사업 강화는 물론 해외 인프라 민관협력사업(PPP·Public Private Partnership) 적극 진출..."
102,2020.08.14.,"HMM 이어 팬오션도 실적 호전… 해운업, 리스크관리로 반등 기틀","사우디아라비아, 러시아 등 글로벌 산유국들의 증산 경쟁으로 유가가 급락하면서 비용절감 효과가 나타나 실적 개선에 힘이 됐다는 분석이다. 또 지속적인 체질 개선과 최근 선박 운임료 상승도 호실적으로..."
103,2020.08.18.,"[이희수의 21세기 아라비안나이트] ""'각자도생' 택한 UAE-이스라엘 수교","이어 바레인, 오만, 사우디아라비아, 쿠웨이트, 카타르 등 다른 아랍 산유국도 이스라엘을 친구로 맞아들일... 걸프 산유국의 묵시적 동조로 미국 도널드 트럼프 행정부가 밀어붙이는 이스라엘의 팔레스타인 점령지..."
104,2020.08.18.,"글로벌 기상이변, 투자판도까지 바꾼다...국제투자 대세된 '脫탄소'","세계 최대 산유국인 사우디아라비아의 증권거래소가 환경지수 개발을 발표했고, 세계 금융시장의 큰손으로 불리는 연기금들은 잇따라 '탈탄소화'를 선언하고 나섰다. 친환경 기업에 투자하는 사회책임투자(ESG)..."
105,2020.08.18.,금값 치솟는데···경제난에 팔아치운 베네수엘라,전 세계에서 원유 매장량이 가장 많은 산유국으로 여유가 있었던데다 우고 차베스 전 대통령 시절에 달러 의존도를 줄이기 위해 금을 대량으로 사들였기 때문이다. 하지만 지난 몇년간 베네수엘라의 금 곳간은 빠르게...
106,2020.08.20.,"마이클 워스 '셰브런' 회장 겸 CEO, 석유시장 좋을 때 M&A 실탄 비축",주로 중동 산유국과 협업하는 오일메이저 기업이 이스라엘과 손잡은 것은 이례적이다. 중동과 유럽 등에서 에너지 공급망을 다각화하려는 시도로 분석된다. 이스라엘은 지중해 동부 레비아단 천연가스전을 개발해...
107,2020.08.21.,"[최지웅의 석유패권전쟁] 日이 美에 충성하고, 中이 美에 도전하는 속내는","미국, 중동에서 영향력 유지하며 '21세기 최대 산유국' 복귀 오늘날 부의 원천은 에너지이고 가장 중요한... 20세기 전반기에 미국은 전 세계 원유 생산량의 60%를 차지하는 압도적 1위의 산유국이었다. 이는 전례없는 생산성..."
108,2020.08.23.,개도국도 할 수 있다…파키스탄의 '현금 실험' [구정은의 '수상한 GPS'],"걸프 산유국들에 나가 일하며 고향에 송금하는 사람들이 많은데, 코로나19에 큰 타격을 받았을 것으로 보인다. 파키스탄은 ‘백신 거부’ 때문에 세계보건기구(WHO)가 골머리를 앓게 만들었던 나라다. 미국 중앙정보국..."
109,2020.08.27.,<시평>장마 태풍…탈원전 폐기 더 화급해졌다,"세계 6위 산유국에 천혜의 태양광 발전국이 전원을 다각화하는 것은 캘리포니아 정전과 함께 국내 에너지 정책에 시사하는 바가 크다. UAE는 전력 생산뿐만 아니라, 국가 안보 차원에서 원자력을 선택한 것이다. 이런..."
110,2020.08.10.,[조홍식의세계속으로] 레바논의 기적과 베이루트의 폭발,레바논은 서남아시아에 있지만 사우디아라비아나 걸프만 산유국들처럼 천연자원의 혜택을 누리지 못했다. 그럼에도 불구하고 가장 높은 교육과 생활 수준을 유지해 온 것이다. 성차별 같은 봉건적 요소를 타파하고...
111,2020.08.11.,< Build Up Korea 2020 >고속도로서 해저터널까지… 해외 인프라에 뻗어나간 ...,"따른 산유국의 발주 감소, 신종 코로나바이러스 감염증(코로나19) 사태에도 꿋꿋이 글로벌 시장에서 약진하고 있다. 건설사들은 기존 사업 강화는 물론 해외 인프라 민관협력사업(PPP·Public Private Partnership) 적극 진출..."
112,2020.08.14.,"HMM 이어 팬오션도 실적 호전… 해운업, 리스크관리로 반등 기틀","사우디아라비아, 러시아 등 글로벌 산유국들의 증산 경쟁으로 유가가 급락하면서 비용절감 효과가 나타나 실적 개선에 힘이 됐다는 분석이다. 또 지속적인 체질 개선과 최근 선박 운임료 상승도 호실적으로..."
113,2020.08.18.,"[이희수의 21세기 아라비안나이트] ""'각자도생' 택한 UAE-이스라엘 수교","이어 바레인, 오만, 사우디아라비아, 쿠웨이트, 카타르 등 다른 아랍 산유국도 이스라엘을 친구로 맞아들일... 걸프 산유국의 묵시적 동조로 미국 도널드 트럼프 행정부가 밀어붙이는 이스라엘의 팔레스타인 점령지..."
114,2020.08.18.,"글로벌 기상이변, 투자판도까지 바꾼다...국제투자 대세된 '脫탄소'","세계 최대 산유국인 사우디아라비아의 증권거래소가 환경지수 개발을 발표했고, 세계 금융시장의 큰손으로 불리는 연기금들은 잇따라 '탈탄소화'를 선언하고 나섰다. 친환경 기업에 투자하는 사회책임투자(ESG)..."
115,2020.08.18.,금값 치솟는데···경제난에 팔아치운 베네수엘라,전 세계에서 원유 매장량이 가장 많은 산유국으로 여유가 있었던데다 우고 차베스 전 대통령 시절에 달러 의존도를 줄이기 위해 금을 대량으로 사들였기 때문이다. 하지만 지난 몇년간 베네수엘라의 금 곳간은 빠르게...
